Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
364;J1;0;8;0;3;0;7;5;0;0;2;8;0;0;0;0;0;3;5;0;0;8;7
364;J2;6;4;0;0;0;0;0;7;9;1;6;8;1;0;0;2;6;2;10;5;9;91
364;J3;0;0;9;0;5;7;0;0;0;0;3;9;4;0;1;5;8;0;9;1;4;46
364;J4;6;4;1;7;2;0;8;3;0;5;0;4;3;0;0;2;0;0;0;0;3;37
364;J5;0;0;0;7;0;5;4;0;0;0;0;0;6;4;7;0;3;0;0;6;3;49
364;J6;3;7;3;8;0;0;0;0;0;0;9;3;2;7;8;6;3;2;7;5;6;63
364;J7;3;3;5;6;5;5;3;3;9;7;4;2;2;3;5;0;0;3;6;5;10;38
364;J8;5;1;7;8;5;0;0;0;0;0;7;4;5;0;0;4;4;5;7;9;7;100
364;J9;4;4;2;8;2;0;4;0;3;5;0;0;0;0;0;10;6;6;10;8;7;79
364;J10;6;0;4;7;0;0;0;0;0;2;1;3;0;7;6;1;0;2;7;4;8;1
364;J11;9;6;1;8;10;8;0;1;2;7;0;1;2;4;0;9;9;5;2;4;2;70
364;J12;0;4;7;0;10;8;0;2;0;6;6;9;4;0;0;6;10;0;0;0;6;48
364;J13;5;4;1;7;1;2;2;0;4;0;0;4;5;2;10;4;2;8;10;0;8;37
364;J14;0;0;0;3;9;8;0;0;0;0;3;0;0;0;1;0;1;1;5;0;10;52
364;J15;6;9;0;0;3;0;0;4;0;5;5;8;1;1;5;9;3;7;9;8;5;22

