Exp;Job;O1;02;03;04;05;O6;07;08;09;010;O11;012;013;014;015;O16;017;018;019;020;PROC;SETUP
353;J1;2;0;5;1;0;0;0;0;0;0;0;0;4;5;0;2;0;5;2;0;1;18
353;J2;0;0;0;0;2;0;0;0;0;0;0;4;7;0;0;0;1;0;0;0;8;8
353;J3;0;0;0;0;0;5;3;7;1;0;7;5;6;5;1;0;3;0;0;4;10;44
353;J4;0;0;0;0;0;0;0;0;7;3;10;0;0;0;0;0;0;0;1;4;2;44
353;J5;6;7;6;3;8;7;7;4;0;0;0;6;4;5;0;0;2;0;3;0;5;6
353;J6;10;1;8;5;0;0;0;0;0;9;4;5;2;1;6;4;0;4;1;0;4;16
353;J7;0;0;0;2;6;7;3;6;4;5;6;0;0;0;0;2;1;4;0;0;1;55
353;J8;7;0;0;5;0;0;0;0;1;6;9;8;3;0;0;0;6;2;0;0;9;41
353;J9;0;1;0;0;0;0;6;2;0;0;0;7;4;0;0;0;0;6;4;0;8;73
353;J10;7;3;0;0;5;0;0;0;0;3;0;5;8;7;1;0;0;1;0;0;7;98
353;J11;0;0;0;3;0;5;4;0;0;0;0;0;9;10;0;0;6;4;0;5;2;94
353;J12;0;0;0;0;5;0;0;0;3;0;10;0;0;0;0;0;5;0;2;0;8;65
353;J13;1;1;7;2;4;0;0;5;3;0;0;0;0;0;8;0;0;2;0;0;3;60
353;J14;2;8;3;1;0;0;0;6;2;0;0;3;6;0;0;0;0;3;6;0;9;97
353;J15;0;0;0;0;0;0;0;0;0;9;2;8;4;9;0;0;0;5;0;0;1;65

