Exp;Job;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O19;O20;PROC;SETUP
374;J1;2;6;3;5;7;0;0;8;0;0;7;0;0;0;0;0;2;7;0;0;3;76
374;J2;1;2;1;2;1;7;8;0;0;0;0;4;0;0;0;2;1;0;6;8;10;144
374;J3;0;6;0;0;0;0;2;5;1;3;3;6;2;7;10;1;6;9;0;6;3;128
374;J4;0;0;3;0;0;0;0;8;6;0;0;8;7;1;9;0;7;0;4;3;3;3
374;J5;4;1;6;0;0;0;0;0;0;0;5;6;8;6;4;8;4;1;0;6;10;87
374;J6;0;2;8;2;0;0;0;0;9;10;1;2;5;8;7;0;4;8;0;0;4;90
374;J7;5;0;0;0;0;5;1;3;1;10;6;1;4;8;0;0;0;0;9;0;8;106
374;J8;2;0;5;2;9;0;0;0;0;0;0;0;0;1;0;2;8;9;5;3;3;138
374;J9;2;9;0;0;8;3;0;0;0;0;4;0;0;0;0;0;10;9;5;1;7;97
374;J10;0;6;0;4;0;1;6;4;1;9;4;0;0;0;0;8;6;3;0;0;7;21
374;J11;0;0;7;0;10;5;1;8;0;0;0;0;6;8;0;3;7;10;8;3;7;78
374;J12;3;6;0;0;0;0;0;0;7;8;0;8;10;6;0;3;2;7;9;0;6;29
374;J13;0;4;8;0;0;0;3;0;5;2;8;0;0;0;0;7;7;1;9;10;9;140
374;J14;7;8;10;0;0;0;0;6;5;0;2;8;4;9;0;0;1;0;3;0;9;48
374;J15;8;0;7;2;0;9;4;0;0;7;7;10;7;5;4;4;10;10;7;2;4;179

